商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(20230116 截止),集資開始,集資結束,新品入榜
one-meter 玻霸鍋,one-meter,13076480.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1000W／<code>調理</code> 800W,產地：台灣品牌，中國製造",,,,2023/01/31 15:59:00,
德國SABA RO瞬熱飲水機,SABA,11996002.0,10900,https://market.icook.tw//products/saba-ro,"品名：SABA 飲水機專用濾芯組,內容物：PAC 活性碳 PP 濾芯+ RO 逆滲透濾芯+C2 複合式濾芯,總淨化水量：5000L,產地：中國製造，台灣監製,認證：<a href=""https://imgur.com/a/tv1Y5Iu"" rel=""nofollow noopener"" target=""_blank"">SGS 水質檢驗合格報告</a>",,,,,
德國 SABA 瞬冷瞬熱 RO 飲水機,SABA,7905520.0,13900,https://market.icook.tw//products/saba-rocold,"品名：德國 SABA 瞬冷瞬熱 RO 飲水機,水箱容量：8.5L（可使用水箱 6L＋餘水用水箱 2.5L）,水箱重量：11kg,額定電壓：110V / 60Hz,總額定消耗電功率:1400W,額定製冷功率：68W,產地：德國品牌，中國製造，台灣監製",,,,2023/01/18 15:59:00,
日本麗克特麵包機,日本 recolte,5498903.0,4280,https://market.icook.tw//products/recolte-bakery,"品名：日本麗克特麵包機,內容物：含主機、內鍋、攪拌葉片、內鍋蓋、量匙、量杯、麵包取出棒、官方 52 道食譜、操作說明書,型號：RBK-1,顏色：奶油白、磨砂灰,容量：500g（麵粉上限 300g）,尺寸：W20.5 x D27 x H31cm,重量：約 4.1kg,電壓：110V／60Hz,功率：450W,溫度調節：70~230°C,材質：<code>主機、內鍋蓋</code> PP／<code>內鍋</code> 金屬合金（氟樹脂塗層）／<code>攪拌葉片</code> 金屬合金（陶瓷塗層）／<code>麵包取出棒</code> 不鏽鋼,產地：日本品牌，日本設計，中國製造,商品驗證識別號碼: R35178,產品責任險：本產品已投保新光產險 3200 萬產品責任險",,,,2023/01/17 15:59:00,
