GREENIS 全方位智慧料理機,GREENIS,590300,25900,https://market.icook.tw//products/greenis,"品名：GREENIS 全方位智慧料理機,內容物：不鏽鋼主鍋＋主鍋上蓋＋玻璃上蓋＋不鏽鋼蒸鍋＋不鏽鋼蒸盤＋不鏽鋼網籃＋量杯蓋＋矽膠刮刀＋四葉刀頭＋蝴蝶刀＋一葉刀頭（炒菜刀頭需額外加購）,尺寸：<code>主機+主鍋組</code> W40 x D19 x H31.5cm／<code>主機+蒸架組</code> W46 x D30 x H44cm／<code>主鍋</code> W25 x D19 x H22.2cm（廣口17cm）／<code>主鍋上蓋</code> W24.5 x D20.5 x H5.5cm／<code>玻璃上蓋</code> W32.5 x D26.5 x H7.5cm／<code>不鏽鋼蒸鍋</code> W35.5 x D25.3 x H9cm／<code>四葉刀頭</code> W13.5 x D13.5 x H9cm／<code>蝴蝶刀</code> W14 x D2.3 x H15cm／<code>量杯蓋</code> W8 x D8 x H6cm／<code>不鏽鋼蒸盤</code> W37 x D27.5 x H4.5cm／<code>不鏽鋼網籃</code> W16 x D16 x H7.5cm／<code>一字刀頭</code> W8 x D4 x H11cm／<code>矽膠刮刀</code> W24 x D5 x H1.2cm,容量：<code>主鍋</code> 2000ml,重量：<code>主機+主鍋</code> 3.8kg／<code>主機+蒸架組</code> 5.5kg／<code>主鍋</code> 1.2kg,額定電壓：110V／60Hz,耗電瓦數：1400W（攪拌 550W／加熱 850W）,攪拌轉速：32000 轉／分鐘,秤重範圍：1~5000g,材質：<code>主鍋</code> SUS 304 不鏽鋼、ABS／<code>主鍋上蓋</code> PP、食品級矽膠／<code>玻璃上蓋</code> SUS 304 不鏽鋼、耐熱玻璃、PA／<code>不鏽鋼蒸鍋+不鏽鋼蒸盤</code>  SUS304不鏽鋼、食品級矽膠、PA／<code>不鏽鋼網籃</code> SUS 304 不鏽鋼／<code>四葉刀頭＋一字刀頭</code> 高碳不鏽鋼、食品級矽膠／<code>蝴蝶刀</code> PA、食品級矽膠／<code>量杯蓋</code> PP／<code>矽膠刮刀</code> 食品級矽膠／<code>炒菜刀頭</code> 高碳不鏽鋼、食品級矽膠,耐熱：<code>主鍋</code> -25～105°C／<code>蝴蝶刀</code> -40～220°C／<code>矽膠刮刀</code> -40～220°C,產地：歐洲品牌，中國製造，台灣監製"
日本阿拉丁0.2秒320度瞬熱烤箱旗艦款,日本千石阿拉丁,4546630,,https://market.icook.tw//products/aladdin,"品名：日本美濃燒 Sowaca 單柄陶盤+雙耳陶盤,規格：<code>圓形雙耳陶盤</code> D28cm×W23.3cmxH5.8cm／<code>單柄多用途陶盤</code> D19.5cmxW26cmxH3.5cm,產地：日本品牌，日本設計，日本手工製造,貼心提醒：本產品不適用於 IH 調理爐"
Driver 3倍速冰滴咖啡壺,Driver,197377,1499,https://market.icook.tw//products/drivercoffee,"品名：Driver 3倍速冰滴咖啡壺,型號：DR-30363-TR,尺寸：<code>承水上座</code> Ø10xH12.8 cm／<code>分水盤</code> Ø10xH1.2 cm／<code>下水壺</code> Ø10xH15.2 cm／<code>3倍速粉槽</code> Ø10xH7 cm,容量：600ml,重量：485±5g,材質：<code>承水上座</code> AS／<code>分水盤</code> AS／<code>下水壺</code> 耐熱玻璃／<code>3倍速粉槽</code> AS、SUS304 不鏽鋼濾網,耐冷熱：<code>AS</code> 80～95°C／<code>耐熱玻璃</code> 120°C,產地：台灣品牌，台灣設計，台灣製造,檢驗：符合 SGS 不含雙酚 A 合格認證,本產品已投保富邦 1000 萬產品責任險"
日本麗克特Carre 調理鍋,日本 recolte,2758800,2280,https://market.icook.tw//products/recolte-carre,"品名：日本麗克特 Carre 調理鍋,內容物：主機、上蓋、陶瓷鍋、燒烤盤、控油架、蒸架、21 道專用精緻食譜,型號：RPD-4,顏色：經典紅、奶油白、磨砂灰,尺寸：<code>主機</code> W20 x D20 x H17.5cm,電線長度：1m,陶瓷鍋容量：1.3L,重量：1350g,電壓：110V／60Hz,功率：650W,材質：<code>本體</code> 鋼、PBT 樹脂 ／<code>陶瓷鍋</code> 金屬合金（陶瓷塗層）/ <code>燒烤盤</code><code></code> 金屬合金（不沾黏塗層）／<code>上蓋</code> 不鏽鋼、PBT 樹脂／<code>控油架、蒸架</code> 不鏽鋼 ,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R35178,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
法國 THOMSON 智能美型製麵包機,法國THOMSON,,2690,https://market.icook.tw//products/bread,"品名：法國THOMSON 全自動復古美型製麵包機,內容物：麵包桶、攪拌棒、電線、量杯、量匙、取物鉤子、說明書、保證書、麵包機食譜,型號：TM-SAB03M,顏色：白,尺寸：W29xD21xH23.8 cm,容量：400g、600g,重量：3kg,功率：400W,電壓：110V／60Hz,功能菜單：19 項菜單、3 種烤色設定,預約時間：15 小時,產地：法國品牌，中國製造"
愛酷傘｜防風瞬開超大折疊傘,iCook 愛料理精選好物,,390,https://market.icook.tw//products/umbrella,"品名：愛酷傘｜防風瞬開超大折疊傘,顏色：純黑、鐵灰、墨綠、深藍,尺寸：<code>弧面</code> 138cm／<code>展開</code> Φ120xH70cm ／<code>折疊</code> D37xW7cm,重量：480g,材質：鋁合金、玻璃纖維、POLYESTER布料,產地：台灣品牌，台灣設計，中國製造"
Dr. Fu 酸痛按摩師,Dr. Fu,333260,1990,https://market.icook.tw//products/drfu,"品名：Dr. Fu 酸痛按摩師,材質：EVA 彈力泡棉、ABS,耐重：可達 135 kg,尺寸：D65xW19xH8.9 cm,產地：美國品牌，美國設計，中國製造"
瑞士 HeatsBox 智能加熱便當盒,Magnus Life,683680,2280,https://market.icook.tw//products/heatsbox,"品名：瑞士 HeatsBox style+ 智能加熱便當盒（分離式）,顏色：太空灰,尺寸：W22 x D17 x H7cm,容量：925ml,重量：700g,電壓：110V／60Hz,最大功率：100W,電線長度：1.5M,材質：<code>本體</code> 304 不鏽鋼、樹脂、矽膠／<code>食物分隔器</code> 食用級 PP,產地：瑞士品牌，瑞士設計，中國製造,認證：通過德國 LFGB、美國 FDA 食品級材質合格認證,貼心提醒：HeatsBox Style+ 主機闔上時，中間會有一條縫隙，此縫隙非密合不良，而是原本之設計外貌。"
one-meter 玻啵鍋,one meter,3867959,2880,https://market.icook.tw//products/one-meter,"品名：one-meter 玻啵鍋,內容物：主機、玻璃內鍋、烤架、說明書,尺寸：D23xW19xH22cm,容量：2L,重量：2.55kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：700W,溫度範圍：120～180°C,產地：台灣品牌，中國製造,認證：<a href=""https://imgur.com/4rtBQvn"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
法國砧板刀具殺菌烘乾機,法國 THOMSON,2685540,2490,https://market.icook.tw//products/threeinone-uv,品名：食品真空保鮮袋 10 入組 
