product_title,product_brand,product_amount,product_price,product_url,product_spec_detail_text
日本麗克特奶茶機,日本 recolte,,1680.0,https://market.icook.tw//products/recolte-milktea,"<strong style=""color: #000000;"">品名：<strong style=""color: #000000;"">日本麗克特奶茶機,型號：RMT-1,顏色：奶油白,尺寸：W9.5 x D9.5 x H18.5 cm,重量：約 450g,容量：約 350ml,內容： 主機、上蓋、濾網、濾網蓋、食譜、使用說明書及保固卡,材質：PP、PCTG、ABS、304不鏽鋼,電壓：110V/ 60 HZ／450W,產地：日本設計，中國製造,商品驗證識別號碼：R35178,本商品已投保新光產險 1500 萬產品責任險,貼心提醒： 此商品時用時，倒入濃稠/含糖量高的液體時，建議加入些許水，搭配奶茶／即溶／奶泡／攪拌模式使用，請務必裝上攪拌器進行使用。"
平易淨 無線平面清潔器 K611,SWDK,,1880.0,https://market.icook.tw//products/swdk-cordlesscleaner,"品名：SWDK 專用替換抹布（2入）,型號：KRAG6,正面材質：15% 聚丙烯+55% 聚酯纖維+30% 錦綸,背面材質：100% 滌綸,尺寸：D250 x Ｗ16mm,產地：中國製造，台灣品牌"
GIGA 一鍵全自動充氣睡墊,GIGA,1204966.0,4799.0,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造"
MATURE 美萃移動式除油煙機,美萃 MATURE,,2980.0,https://market.icook.tw//products/mature-rangehood,
溫揉指｜氣壓溫感手部按摩機,3ZeBra,,1880.0,https://market.icook.tw//products/hand-massager,"品名：溫揉指｜氣壓溫感手部按摩機,產地：台灣品牌，中國製造"
one-meter 玻霸鍋,one-meter,2899790.0,3980.0,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 玻霸鍋,顏色：科技黑、經典白,容量：4.5L,重量：4.6kg,尺寸：D26.5xW25.5xH26 cm,材質：<code>內鍋</code> 高硼矽玻璃／<code>加熱管</code> 碳素管／<code>濾油網架</code> 不鏽鋼,額定耗電功率：1200W,額定電壓／頻率：100V／60Hz,產地：台灣品牌，中國製造,認證：<a href=""https://assets.zeczec.com/asset_493937_image_big.png?1657219160"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
MATURE 美萃夾心陶瓷爐,美萃 MATURE,,4980.0,https://market.icook.tw//products/mature-ceramic,
meekee 三合一食物調理機,meekee,,1590.0,https://market.icook.tw//products/meekee-food,"品名：meekee 保鮮解凍器,內容物：主機、解凍板、保鮮霧化器、接水底盤、上蓋、Type-C 充電線,尺寸：32x24.5x19.5cm,材質：PET／ABS 食品接觸級塑料、HDF 高密度鋁合金,顏色：灰色、玫瑰金,產地：台灣品牌，中國製造,貼心提醒 : 本商品屬於衛生用品，若您不確定是否合乎使用，或對商品有疑問，建議先行詢問廠商。若一經使用，會產生無法清潔以及衛生之問題，且無法再行銷售，除商品本身故障瑕疵外，辦理退貨時可能依實際使用之狀況產生退貨整新之費用。"
DMO 復古義式雙膠囊咖啡機,韓國 OSNER,2716660.0,,https://market.icook.tw//products/dmo-coffee,"品名：ELCONA 韓國經典電動咖啡磨豆機,磨豆數：20～70g,保固：3 年,產地：韓國品牌，韓國設計，中國製造"
日本麗克特質感美型氣炸烤箱,日本 recolte,5164930.0,4680.0,https://market.icook.tw//products/recolte-oven,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
