商品名稱,品牌名稱,累積金額,產品單價,產品網址,產品規格
日本 Toffy 復古美型氣炸烤箱,TOFFY,10663630.0,4990,https://market.icook.tw//products/toffy-airoven,"品名：日本 Toffy 復古美型氣炸烤箱,內容物：主機＋烤盤＋烤架＋集屑盤＋烤網籃＋把手,型號：K-TS5,尺寸：<code>主機</code> W32.5 x D31.5 x H33cm,電線長度：約 1m,重量：4.6kg,電壓：110V／60Hz,功率：1200W,定時：60 分鐘,溫度調節：<code>發酵</code> 40°C／<code>其他模式</code> 60~230°C,功能：氣炸、烘烤、燒烤、慢烤、發酵,材質：<code>主機</code> 不鏽鋼、鋼、玻璃、ABS／<code>烤盤</code> 鋁合金+不沾塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R39578,產品責任險：本產品已投保新光產險 3200 萬產品責任險"
日本麗克特質感美型氣炸烤箱,日本 recolte,5466380.0,4680,https://market.icook.tw//products/recolte-oven,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
GREENIS 全方位智慧料理機,GREENIS,4452460.0,27900,https://market.icook.tw//products/greenis,"品名：SOUSV pot 舒肥萬用鍋,型號：BSV-A60,顏色：黑色,尺寸：<code>主機</code> W37 x D33.5 x H30 cm／<code>內鍋</code> W22.5 x D22.5 x H16 cm,最大容量：5.6公升,功率：1200W,電壓：110V／60Hz,重量：4 kg,材質：<code>主機外殼</code> 不鏽鋼、PP／<code>內鍋</code> 鋁合金＋不沾陶瓷塗層／<code>舒肥架</code> 304不鏽鋼／<code>舒肥架防刮墊</code> 食品級矽膠／<code>飯匙</code> 食品級PP／<code>量杯</code> 食品級PP,內容物：主機、5.6公升專用內鍋、舒肥架、飯匙、量杯、使用指南、愛料理專屬食譜、舒肥食譜磁鐵,產地：台灣品牌，美國設計，中國製造，台灣監製"
小嵐立式美髮吹風機,meekee,4351150.0,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,顏色：櫻花粉、薄荷綠,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
one-meter 玻霸鍋,one-meter,3496650.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 玻霸鍋,顏色：科技黑、經典白,容量：4.5L,重量：4.6kg,尺寸：D26.5xW25.5xH26 cm,材質：<code>內鍋</code> 高硼矽玻璃／<code>加熱管</code> 碳素管／<code>濾油網架</code> 不鏽鋼,額定耗電功率：1200W,額定電壓／頻率：100V／60Hz,產地：台灣品牌，中國製造,認證：<a href=""https://assets.zeczec.com/asset_493937_image_big.png?1657219160"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
法國全自動可加熱營養豆漿機,法國THOMSON,2427880.0,2990,https://market.icook.tw//products/thomson-soymilk,
法國三合一UV殺菌智能烘碗機,法國 THOMSON,1897110.0,4690,https://market.icook.tw//products/thomson-dishdryer,"<img alt="""" class=""lazyload"" data-src=""https://uploads-market.icook.network/uploads/staff_asset/data/18682/a5492336a8.jpg"" data-srcset=""https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=1440 1440w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=800 800w, https://imageproxy.icook.network/resize?background=255%2C255%2C255&amp;nocrop=true&amp;stripmeta=true&amp;type=auto&amp;url=https%3A%2F%2Fuploads-market.icook.network%2Fuploads%2Fstaff_asset%2Fdata%2F18682%2Fa5492336a8.jpg&amp;width=440 440w"" height=""900"" sizes=""(max-width: 767px) calc(100vw - 60px), 800px"" src=""data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="" style=""aspect-ratio: 800 / 900;"" width=""800""/>品名：法國 Thomson 三合一 UV殺菌智能烘乾機,產地：法國品牌，中國製造,檢驗：<a href=""https://imgur.com/rpbS8rg"" rel=""nofollow noopener"" target=""_blank"">符合經濟部 TAF 標準檢驗</a>"
GIGA 一鍵全自動充氣睡墊,GIGA,1708947.0,4799,https://market.icook.tw//products/giga-sleeping-pad,"品名：Amingogo 露營冰桶,顏色：黑色、橄欖綠色,容量：1.9L / 3.8L,材質：304 不鏽鋼、PP,尺寸：<code>1.9L</code> Ø13.5xH34cm／<code>3.8L</code> Ø16xH39cm（含手把高度）,保冷時效：滿桶冰量測試，30 度室溫下（24 小時約剩餘 80% 冰量；48 小時剩餘 50% 冰量）,保溫時效：裝約 95 度熱水，23 度室溫下（12小時約剩 80 度、24小時約剩 65 度）,貼心提醒：因使用溫度環境不同，數據可能會有所差異,產地：台灣品牌，台灣設計，中國製造"
one-meter智能高速破壁冷熱調理機,one meter,1578660.0,4980,https://market.icook.tw//products/blender-onemeter,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1000W／<code>調理</code> 800W,產地：台灣品牌，中國製造"
日本BRUNO美型智能氣炸鍋,日本BRUNO,748800.0,2880,https://market.icook.tw//products/bruno-airfryer,"品名：日本 BRUNO 美型智能氣炸鍋,顏色：經典紅、薄荷綠,尺寸：W24.3xH31.4xD32.4cm,容量：3.5L,材質：<code>機身</code> PP／<code>炸鍋</code> 鍍鋁板+塗層／<code>烤架</code> 鍍鋁板+塗層+矽膠,電壓：110V／60Hz,功率：1500W,內容物：主機、烤架、專用食譜書,電源線長：0.9m,產地：日本品牌、日本設計、中國生產,BSMI 認證：R31310（授權放行通知書號碼：CI311063103881號00）"
meekee 三合一食物調理機,meekee,677225.0,1590,https://market.icook.tw//products/meekee-food,"品名：meekee 保鮮解凍器,內容物：主機、解凍板、保鮮霧化器、接水底盤、上蓋、Type-C 充電線,尺寸：32x24.5x19.5cm,材質：PET／ABS 食品接觸級塑料、HDF 高密度鋁合金,顏色：灰色、玫瑰金,產地：台灣品牌，中國製造,貼心提醒 : 本商品屬於衛生用品，若您不確定是否合乎使用，或對商品有疑問，建議先行詢問廠商。若一經使用，會產生無法清潔以及衛生之問題，且無法再行銷售，除商品本身故障瑕疵外，辦理退貨時可能依實際使用之狀況產生退貨整新之費用。"
