日本麗克特Carre 調理鍋,日本 recolte,2227560,2280,https://market.icook.tw//products/recolte-carre,"品名：日本麗克特 Carre 調理鍋,內容物：主機、上蓋、陶瓷鍋、燒烤盤、控油架、蒸架、21 道專用精緻食譜,型號：RPD-4,顏色：經典紅、奶油白、磨砂灰,尺寸：<code>主機</code> W20 x D20 x H17.5cm,電線長度：1m,陶瓷鍋容量：1.3L,重量：1350g,電壓：110V／60Hz,功率：650W,材質：<code>本體</code> 鋼、PBT 樹脂 ／<code>陶瓷鍋</code> 金屬合金（陶瓷塗層）/ <code>燒烤盤</code><code></code> 金屬合金（不沾黏塗層）／<code>上蓋</code> 不鏽鋼、PBT 樹脂／<code>控油架、蒸架</code> 不鏽鋼 ,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R35178,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
法國 THOMSON 智能美型製麵包機,法國THOMSON,,2690,https://market.icook.tw//products/bread,"品名：法國THOMSON 全自動復古美型製麵包機,內容物：麵包桶、攪拌棒、電線、量杯、量匙、取物鉤子、說明書、保證書、麵包機食譜,型號：TM-SAB03M,顏色：白,尺寸：W29xD21xH23.8 cm,容量：400g、600g,重量：3kg,功率：400W,電壓：110V／60Hz,功能菜單：19 項菜單、3 種烤色設定,預約時間：15 小時,產地：法國品牌，中國製造"
Driver 3倍速冰滴咖啡壺,Driver,146009,1499,https://market.icook.tw//products/drivercoffee,"品名：Driver 3倍速冰滴咖啡壺,型號：DR-30363-TR,尺寸：<code>承水上座</code> Ø10xH12.8 cm／<code>分水盤</code> Ø10xH1.2 cm／<code>下水壺</code> Ø10xH15.2 cm／<code>3倍速粉槽</code> Ø10xH7 cm,容量：600ml,重量：485±5g,材質：<code>承水上座</code> AS／<code>分水盤</code> AS／<code>下水壺</code> 耐熱玻璃／<code>3倍速粉槽</code> AS、SUS304 不鏽鋼濾網,耐冷熱：<code>AS</code> 80～95°C／<code>耐熱玻璃</code> 120°C,產地：台灣品牌，台灣設計，台灣製造,檢驗：符合 SGS 不含雙酚 A 合格認證,本產品已投保富邦 1000 萬產品責任險"
日本阿拉丁0.2秒320度瞬熱烤箱旗艦款,日本千石阿拉丁,4245100,10900,https://market.icook.tw//products/aladdin,"品名：日本美濃燒 Sowaca 單柄陶盤+雙耳陶盤,規格：<code>圓形雙耳陶盤</code> D28cm×W23.3cmxH5.8cm／<code>單柄多用途陶盤</code> D19.5cmxW26cmxH3.5cm,產地：日本品牌，日本設計，日本手工製造,貼心提醒：本產品不適用於 IH 調理爐"
Dr. Fu 酸痛按摩師,Dr. Fu,223500,1990,https://market.icook.tw//products/drfu,"品名：Dr. Fu 酸痛按摩師,材質：EVA 彈力泡棉、ABS,耐重：可達 135 kg,尺寸：D65xW19xH8.9 cm,產地：美國品牌，美國設計，中國製造"
one-meter 玻啵鍋,one meter,3637559,2880,https://market.icook.tw//products/one-meter,"品名：one-meter 玻啵鍋,內容物：主機、玻璃內鍋、烤架、說明書,尺寸：D23xW19xH22cm,容量：2L,重量：2.55kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：700W,溫度範圍：120～180°C,產地：台灣品牌，中國製造,認證：<a href=""https://imgur.com/4rtBQvn"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
瑞士 HeatsBox 智能加熱便當盒,Magnus Life,484080,2280,https://market.icook.tw//products/heatsbox,"品名：瑞士 HeatsBox style+ 智能加熱便當盒（分離式）,顏色：太空灰,尺寸：W22 x D17 x H7cm,容量：925ml,重量：700g,電壓：110V／60Hz,最大功率：100W,電線長度：1.5Mbr /&gt;材質：<code>本體</code> 304 不鏽鋼、樹脂、矽膠／<code>食物分隔器</code> 食用級 PP,產地：瑞士品牌，瑞士設計，中國製造,認證：通過德國 LFGB、美國 FDA 食品級材質合格認證,貼心提醒：HeatsBox Style+ 主機闔上時，中間會有一條縫隙，此縫隙非密合不良，而是原本之設計外貌。"
愛酷傘｜防風瞬開超大折疊傘,iCook 愛料理精選好物,,390,https://market.icook.tw//products/umbrella,"品名：愛酷傘｜防風瞬開超大折疊傘,顏色：純黑、鐵灰、墨綠、深藍,尺寸：<code>弧面</code> 138cm／<code>展開</code> Φ120xH70cm ／<code>折疊</code> D37xW7cm,重量：480g,材質：鋁合金、玻璃纖維、POLYESTER布料,產地：台灣品牌，台灣設計，中國製造"
SWANZ 動飲杯｜直飲吸管開蓋三合一,Swanz,729580,1380,https://market.icook.tw//products/swanzluna,"<span style=""font-size: 11pt;"">品名：矽膠清潔刷</span>,尺寸：Ø5cmx30cm,重量：30g,材質：矽膠,產地：中國製造"
Festino美容導入儀2.0升級款,日本 recolte,492480,2280,https://market.icook.tw//products/recolte-festino,"品名：日本 Festino 音波熱感美容儀 2.0 升級款,型號：SMHB-023,顏色：粉,尺寸：約W18.5×D18.5×H128mm,材質：ABS、鋅合金,重量：約 27g,電壓：USB 電源（DC5V／1A）,產地：日本品牌，日本設計，中國製造"
德國真空破壁調理機,德國藍寶 BLAUPUNKT,5024930,4990,https://market.icook.tw//products/blender-blaupunkt,"品名：德國藍寶真空破壁調理機,型號：BPH-M01B,產品尺寸：<code>本體</code> D19.7XW20.7xH47.2 cm <code>壺體</code> W15.1xD21.6xH29.4cm,重量：<code>本體</code> 4.1kg <code>壺體</code> 891g（含杯蓋）,容量：1750ml,材質：<code>底座</code> ABS <code>壺體</code> Tritan™ <code>刀刃</code> 304 不鏽鋼,額定電壓：110V / 60Hz / 1000W,電源線長度：約150cm,馬達轉速：24,000 RPM,真空效果：59Kpa,內容物：主機x1、攪拌棒x1、量杯x1、真空塞x2、食譜x1、說明書x1、清潔刷x1,可設定模式：蔬果、冰沙、醬汁、米糊、研磨,可預設秒數：10秒、20秒、30秒、40秒、60秒,產地：德國品牌，德國設計，中國製造,國際條碼：4711467079602,商檢合格字號：CI338065993422"
