KUDI 庫迪 智能廚餘機,KUDI,1701760,10990,https://market.icook.tw//products/kudi,"品名：KUDI 庫迪 智能廚餘機,內容物：主機＋2L內桶＋清潔蓋＋清潔刷＋活性碳過濾盒x2+轉接頭＋說明書,尺寸：D30.8xW28.8xH37.9 cm,產地：台灣品牌，中國製造,貼心提醒：攪拌桶內部材質屬特氟龍不沾塗層，不沾塗層較好清洗，但在機器運作中，攪拌刀與廚餘會產生阻力與摩擦，塗層將會產生刮痕或脫落屬正常現象，如買家介意，請斟酌下單。"
日本KOM 雙口免安裝 IH 電磁爐,日本KOM,324653,3680,https://market.icook.tw//products/ih-kom,"品名：【LMG】雪藏玉子燒鍋,材質：鋁合金、櫸木防燙手把,尺寸：D35.5xW14xH4cm ／<code>把手</code> 17cm,重量：420g"
Sealito T2 無線輕巧真空保鮮機,Sealito,,1880,https://market.icook.tw//products/sealito-t2,"品名：單面壓紋真空袋（兩側有易撕口設計）,尺寸：17 x 25 cm（可用範圍需扣除左右壓邊處各約 1cm，下方壓邊處約 1.5cm）,材質：食品級，PA＋PE,注意事項：可隔水加熱，不建議微波使用。"
日本BRUNO帕尼尼厚燒機,BRUNO,,2780,https://market.icook.tw//products/bruno-panini,"品名：鬆餅烤盤,規格：雙人帕尼尼厚燒機／單人厚燒三明治機,尺寸：<code>雙人</code> W25xD14.2xH1.9cm／<code>單人</code> W12.5xD14.2xH1.9cm,重量：<code>雙人</code> 735g／<code>單人</code> 360g ,材質：鋁合金（氟樹脂塗層）,內容物：鬆餅烤盤x2,產地：日本品牌，日本設計，中國製造"
MAXCELIA 無線秤重食物調理機,maxcelia,1334580,2690,https://market.icook.tw//products/maxcelia,"品名：MAXCELIA 無線秤重食物調理機,內容物：主機＋600ml 玻璃調理杯+1200ml 玻璃調理杯+不鏽鋼刀頭x2+剝蒜器x2＋攪拌盤x2＋磨泥盤x2＋刮刀＋USB充電線,型號：MX-0126BS,調理杯容量：600ml／1200ml,尺寸：<code>600ml</code> Φ11.8xH22.5cm／<code>1200ml</code> Φ14.8xH23.8cm,重量：<code>600ml</code> 1.2kg／<code>1200ml</code> 1.52kg,材質：<code>雙層切碎刀頭</code> POM+SUS420／<code>碗蓋</code> PP／<code>600ml、1200ml調理杯</code> 鈉鈣玻璃／<code>攪拌盤、磨泥盤</code> ABS／<code>剝蒜器、碗墊、碗蓋墊圈</code> 矽膠,耐熱溫度：<code>玻璃調理杯</code> 0～50°C,額定秤重範圍：&lt;1.0kg,轉速：1400 轉／分,額定輸入電壓：5V／1A,總額定消耗電功率：120W,電池容量：1500mAh,充電時間：4 小時,連續運作時間：長壓時間不超過 30 秒，每次需間隔 2 分鐘。,產地：台灣品牌，中國製造"
日本 Toffy 復古美型氣炸烤箱,TOFFY,3682620,4990,https://market.icook.tw//products/toffy-airoven,"品名：日本 Toffy 復古美型氣炸烤箱,內容物：主機＋烤盤＋烤架＋集屑盤＋烤網籃＋把手,型號：K-TS5,尺寸：<code>主機</code> W32.5 x D31.5 x H33cm,電線長度：約 1m,重量：4.6kg,電壓：110V／60Hz,功率：1200W,定時：60 分鐘,溫度調節：<code>發酵</code> 40°C／<code>其他模式</code> 60~230°C,功能：氣炸、烘烤、燒烤、慢烤、發酵,材質：<code>主機</code> 不鏽鋼、鋼、玻璃、ABS／<code>烤盤</code> 鋁合金+不沾塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R39578,產品責任險：本產品已投保新光產險 3200萬產品責任險"
日本麗克特Carre 調理鍋,日本 recolte,4577860,2980,https://market.icook.tw//products/recolte-carre,"品名：日本麗克特 Carre 調理鍋,內容物：主機、上蓋、陶瓷鍋、燒烤盤、控油架、蒸架、21 道專用精緻食譜,型號：RPD-4,顏色：經典紅、奶油白、磨砂灰,尺寸：<code>主機</code> W20 x D20 x H17.5cm,電線長度：1m,陶瓷鍋容量：1.3L,重量：1350g,電壓：110V／60Hz,功率：650W,材質：<code>本體</code> 鋼、PBT 樹脂 ／<code>陶瓷鍋</code> 金屬合金（陶瓷塗層）/ <code>燒烤盤</code><code></code> 金屬合金（不沾黏塗層）／<code>上蓋</code> 不鏽鋼、PBT 樹脂／<code>控油架、蒸架</code> 不鏽鋼 ,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R35178,產品責任險：本商品已投保新光產險 3200 萬產品責任險"
美妍小V 4in1溫冷緊緻按摩儀,lisscode,1116520,4560,https://market.icook.tw//products/lisscode-smio-v,"品名：美妍小V 4in1溫冷緊緻按摩儀,內容物：主機、充電線、說明書,型號：LB-200,顏色：雲朵白／夕陽粉,尺寸：W94.8×D92×H31mm,溫度設定：42°C／12°C,額定電壓：DC 5V,額定輸入：0.5A,充電方式：Type-C 充電,震動頻率：11000ppm,材質：<code>機身</code> ABS／<code>導頭</code> 鋅合金,重量：156g,產地：台灣品牌，台灣設計，台灣製造"
Driver 甘丹茶壺,Driver,3300912,1080,https://market.icook.tw//products/driverteatop,"品名：Driver 大甘丹茶壺,內容物：大甘丹、防塵蓋,尺寸：Ø12.5xH19 cm／<code>防塵蓋</code> Ø8.8xH1.5 cm,容量：1000ml,材質：304不鏽鋼、高硼矽耐熱玻璃、食品級矽膠圈／<code>防塵蓋</code> PP,耐冷熱：-20～130°C,產地：台灣品牌，台灣設計，台灣製造"
麗克特Cordless迷你無線食物調理機,日本 recolte,771140,1280,https://market.icook.tw//products/recolte-cordless,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
