product_title,product_brand,product_amount,product_price,product_url,product_spec_detail_text
one-meter 玻霸鍋,one-meter,930110.0,3980,https://market.icook.tw//products/one-meter-boba,"品名：one-meter 玻霸鍋,顏色：科技黑、經典白,容量：4.5L,重量：4.6kg,尺寸：D26.5xW25.5xH26 cm,材質：<code>內鍋</code> 高硼矽玻璃／<code>加熱管</code> 碳素管／<code>濾油網架</code> 不鏽鋼,額定耗電功率：1200W,額定電壓／頻率：100V／60Hz,產地：台灣品牌，中國製造,認證：<a href=""https://assets.zeczec.com/asset_493937_image_big.png?1657219160"" rel=""nofollow noopener"" target=""_blank"">符合 BSMI 合格檢驗</a>"
日本麗克特質感美型氣炸烤箱,日本 recolte,4420420.0,4680,https://market.icook.tw//products/recolte-oven,"品名：日本麗克特 Cordless 迷你無線食物調理機,顏色：經典紅、奶油白,尺寸：W10xD10xH15cm,重量：630g,容量：300ml（最大使用容量為 190ml）,材質：<code>本體</code> ABS / <code>杯蓋</code> PP／<code>調理杯</code> 玻璃／<code>刀片</code> 不鏽鋼 / <code>矽膠圈</code> 矽膠,電壓：DC 3.7V／5V／1A,功率：45W／30W,內容物：主機、玻璃調理杯、杯蓋、三刃刀頭、USB充電線、中文操作手冊、商品服務保證卡、7 道精緻食譜,充電時間 : 2.5 小時,使用時間 : 每次約 30 秒，滿電狀態可使用約 30 次。,產地：日本品牌、日本設計、中國生產,責任險：本商品已投保新光產險 3200 萬產品責任險,注意事項 : 請定期幫機器充電循環，避免電池快速老化故障"
溫揉指｜氣壓溫感手部按摩機,3ZeBra,,1880,https://market.icook.tw//products/hand-massager,"品名：溫揉指｜氣壓溫感手部按摩機,產地：台灣品牌，中國製造"
MATURE 美萃移動式除油煙機,美萃 MATURE,,1980,https://market.icook.tw//products/mature-rangehood,
meekee 三合一食物調理機,meekee,,1590,https://market.icook.tw//products/meekee-food,"品名：meekee 保鮮解凍器,內容物：主機、解凍板、保鮮霧化器、接水底盤、上蓋、Type-C 充電線,尺寸：32x24.5x19.5cm,材質：PET／ABS 食品接觸級塑料、HDF 高密度鋁合金,顏色：灰色、玫瑰金,產地：台灣品牌，中國製造,貼心提醒 : 本商品屬於衛生用品，若您不確定是否合乎使用，或對商品有疑問，建議先行詢問廠商。若一經使用，會產生無法清潔以及衛生之問題，且無法再行銷售，除商品本身故障瑕疵外，辦理退貨時可能依實際使用之狀況產生退貨整新之費用。"
DMO 復古義式雙膠囊咖啡機,韓國 OSNER,2122760.0,5880,https://market.icook.tw//products/dmo-coffee,"品名：ELCONA 韓國經典電動咖啡磨豆機,磨豆數：20～70g,保固：3 年,產地：韓國品牌，韓國設計，中國製造"
台灣製316不鏽鋼 櫻花不沾七層炒鍋,LMG,,2380,https://market.icook.tw//products/sakura,"品名：台灣製 304 不鏽鋼多功能蒸籠,規格：32cm／34cm／38cm,尺寸：<code>32cm</code> Ø32x8cm／<code>34cm</code> Ø34x8.2cm／<code>38cm</code> Ø38x8.4cm,重量：<code>32cm</code> 420g／<code>34cm</code> 570g／<code>38cm</code> 680g,材質：304 不鏽鋼,產地：台灣品牌、台灣製造"
MATURE 美萃夾心陶瓷爐,美萃 MATURE,,3880,https://market.icook.tw//products/mature-ceramic,
小嵐立式美髮吹風機,meekee,4227460.0,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,顏色：櫻花粉、薄荷綠,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
GREENIS 全方位智慧料理機,GREENIS,4334020.0,32900,https://market.icook.tw//products/greenis,"品名：GREENIS 全方位智慧料理機,內容物：不鏽鋼主鍋＋主鍋上蓋＋玻璃上蓋＋不鏽鋼蒸鍋＋不鏽鋼蒸盤＋不鏽鋼網籃＋量杯蓋＋矽膠刮刀＋四葉刀頭＋蝴蝶刀＋一葉刀頭（炒菜刀頭需額外加購）,尺寸：<code>主機+主鍋組</code> W40 x D19 x H31.5cm／<code>主機+蒸架組</code> W46 x D30 x H44cm／<code>主鍋</code> W25 x D19 x H22.2cm（廣口17cm）／<code>主鍋上蓋</code> W24.5 x D20.5 x H5.5cm／<code>玻璃上蓋</code> W32.5 x D26.5 x H7.5cm／<code>不鏽鋼蒸鍋</code> W35.5 x D25.3 x H9cm／<code>四葉刀頭</code> W13.5 x D13.5 x H9cm／<code>蝴蝶刀</code> W14 x D2.3 x H15cm／<code>量杯蓋</code> W8 x D8 x H6cm／<code>不鏽鋼蒸盤</code> W37 x D27.5 x H4.5cm／<code>不鏽鋼網籃</code> W16 x D16 x H7.5cm／<code>一字刀頭</code> W8 x D4 x H11cm／<code>矽膠刮刀</code> W24 x D5 x H1.2cm,容量：<code>主鍋</code> 2000ml,重量：<code>主機+主鍋</code> 3.8kg／<code>主機+蒸架組</code> 5.5kg／<code>主鍋</code> 1.2kg,額定電壓：110V／60Hz,耗電瓦數：1400W（攪拌 550W／加熱 850W）,攪拌轉速：32000 轉／分鐘,秤重範圍：1~5000g,材質：<code>主鍋</code> SUS 304 不鏽鋼、ABS／<code>主鍋上蓋</code> PP、食品級矽膠／<code>玻璃上蓋</code> SUS 304 不鏽鋼、耐熱玻璃、PA／<code>不鏽鋼蒸鍋+不鏽鋼蒸盤</code>  SUS304不鏽鋼、食品級矽膠、PA／<code>不鏽鋼網籃</code> SUS 304 不鏽鋼／<code>四葉刀頭＋一字刀頭</code> 高碳不鏽鋼、食品級矽膠／<code>蝴蝶刀</code> PA、食品級矽膠／<code>量杯蓋</code> PP／<code>矽膠刮刀</code> 食品級矽膠／<code>炒菜刀頭</code> 高碳不鏽鋼、食品級矽膠,耐熱：<code>主鍋</code> -25～105°C／<code>蝴蝶刀</code> -40～220°C／<code>矽膠刮刀</code> -40～220°C,產地：歐洲品牌，中國製造，台灣監製"
