商品名稱,品牌名稱,累積金額,產品單價,產品網址,產品規格
台灣原創 雙向矽膠鍋鏟,Turnula,12430978.0,630,https://market.icook.tw//products/new-turnula,"品名：Turnula 雙向不鏽鋼鍋鏟,尺寸：W8.7±0.2 x D37.5±0.5 x H4±0.3cm,重量：180±10g,材質：304 高級不鏽鋼,產地：台灣品牌，台灣設計，中國製造,適用於：一般 28~40cm 口徑的各式炒鍋,專利：<code>台灣發明</code> 1612929、<code>台灣新型</code> M539896、<code>台灣設計</code> D186325、<code>日本設計</code> 1600072、<code>中國新型</code> ZL201621458087.8、<code>中國設計</code> ZL201730348700.4、<code>中國設計</code> ZL201730348717.X"
日本 Toffy 復古美型氣炸烤箱,TOFFY,8218530.0,4990,https://market.icook.tw//products/toffy-airoven,"品名：日本 Toffy 復古美型氣炸烤箱,內容物：主機＋烤盤＋烤架＋集屑盤＋烤網籃＋把手,型號：K-TS5,尺寸：<code>主機</code> W32.5 x D31.5 x H33cm,電線長度：約 1m,重量：4.6kg,電壓：110V／60Hz,功率：1200W,定時：60 分鐘,溫度調節：<code>發酵</code> 40°C／<code>其他模式</code> 60~230°C,功能：氣炸、烘烤、燒烤、慢烤、發酵,材質：<code>主機</code> 不鏽鋼、鋼、玻璃、ABS／<code>烤盤</code> 鋁合金+不沾塗層,產地：日本品牌，日本設計，中國製造,保固：機體原廠 1 年保固,商品驗證識別號碼: R39578,產品責任險：本產品已投保新光產險 3200 萬產品責任險"
美國松木纖維抗菌砧板,品幸福,7313820.0,1290,https://market.icook.tw//products/lifehappiness,"品名：品幸福超抗菌木纖維圓板,尺寸： W40.5 x D30.5 x H0.6cm,重量：856g,材質：松木纖維、樹脂,耐熱：170°C,內容物：圓板、矽膠防滑墊片,產地：台灣品牌，台灣設計，中國製造,<span style=""color: #c0504d;"">注意事項：</span>"
德國真空破壁調理機,德國藍寶 BLAUPUNKT,6057860.0,4990,https://market.icook.tw//products/blender-blaupunkt,"品名：德國藍寶真空破壁調理機,型號：BPH-M01B,產品尺寸：<code>本體</code> D19.7XW20.7xH47.2 cm <code>壺體</code> W15.1xD21.6xH29.4cm,重量：<code>本體</code> 4.1kg <code>壺體</code> 891g（含杯蓋）,容量：1750ml,材質：<code>底座</code> ABS <code>壺體</code> Tritan™ <code>刀刃</code> 304 不鏽鋼,額定電壓：110V / 60Hz / 1000W,電源線長度：約150cm,馬達轉速：24,000 RPM,真空效果：59Kpa,內容物：主機x1、攪拌棒x1、量杯x1、真空塞x2、食譜x1、說明書x1、清潔刷x1,可設定模式：蔬果、冰沙、醬汁、米糊、研磨,可預設秒數：10秒、20秒、30秒、40秒、60秒,產地：德國品牌，德國設計，中國製造,國際條碼：4711467079602,商檢合格字號：CI338065993422"
小嵐立式美髮吹風機,meekee,3772600.0,3990,https://market.icook.tw//products/pink-meekee,"品名：小嵐立式美髮吹風機,尺寸：119～148.2cm,材質：ABS、鋁合金,重量：3.45kg,電壓：110V/ 1200W,電線長度：150cm,桿身長度：三節式伸縮調節,產地：中國製造,認證：BSMI、 NCC 合格檢驗（無線遙控器）,<span style=""color: #c0504d;"">貼心提醒：</span>,1. 因商品屬性屬於衛生性商品，無法真的試用。,2. 商品收到後可以拆箱確認（僅限於主機功能部分），請開啟電源確認風量及溫度是否符合需求，過程中先不要組裝以免產生使用痕跡，後續如需申請退貨，商品也須完全恢復原包裝及狀態。,3. 情境圖僅供參考，實際桿身為無刻度設計，請以收到之商品為準。"
法國砧板刀具殺菌烘乾機,法國 THOMSON,3505560.0,2490,https://market.icook.tw//products/threeinone-uv,品名：食品真空保鮮袋 10 入組 
韓國Damda 摺疊置物籃/購物車,韓國 Damda,3038509.0,1090,https://market.icook.tw//products/damda,"品名：【購物車專用】彈力固定繩,顏色：米色、黃色、粉色,尺寸：<code>繩長</code> 171.5cm／<code>掛鈎</code> 5.5cm,材質：聚酯+PP,產地：韓國品牌，韓國設計，中國製造"
太空鍋｜法國 智能溫控萬用壓力鍋,法國 THOMSON,1367600.0,3780,https://market.icook.tw//products/thomson-pressurecooker,"品名：太空鍋｜法國 智能溫控萬用壓力鍋,內容物：含 主機、內鍋、量米杯、湯勺、飯勺、說明書,顏色：白色／紫色,型號：TM-SAPO1P,尺寸：D26.4xW26.8xH28.4cm,材質：<code>本體</code> 聚丙烯合成樹脂 / <code>內鍋</code> 鋁合金（陶瓷不沾塗層）,內鍋容量 : 4L,工作壓力值：0～70kPa,電壓：110V／60Hz,功率：900W,產地：法國品牌，中國製造"
日本麗克特質感美型氣炸烤箱,日本 recolte,1295880.0,4680,https://market.icook.tw//products/recolte-oven,"<span style=""color: #1f497d;"">品名：recolte Clair 經典快煮壺</span>,顏色：經典紅／簡約白,尺寸：W23.6 x D13.5 x H20 cm,重量：770g,容量：800ml,內容：主機、上蓋、加熱底座、使用說明書、保固卡,材質： <code>壺身、壺蓋</code> 304不鏽鋼,電壓：110V/ 60 HZ／1000W,產地：日本設計，中國製造,商品驗證識別號碼：R39578,本商品已投保新光產險 3200 萬產品責任險"
one-meter智能高速破壁冷熱調理機,one meter,1070700.0,4980,https://market.icook.tw//products/blender-onemeter,"品名：one-meter 智能高速破壁冷熱調理機,內容物：主機x1、量杯x1、蒸籠x1、攪拌棒x1、濾網x1、清潔刷x1,型號：OJE-18021CM,尺寸：D20.5xW20.5xH52cm,材質：<code>壺體</code> 高硼矽玻璃／<code>刀片</code> 304 不鏽鋼／<code>壺底</code> PTC 不鏽鋼,可用容量：<code>冷</code> 1600ml／<code>熱</code> 1400ml,馬達轉速：32000 RPM,刀片數：8 重刀片設計,重量：5kg,額定電壓／頻率：110V／60Hz,總額定消耗功率：1200W,產地：台灣品牌，中國製造"
